


User 0%, System 4%, IOW 0%, IRQ 0%
User 3 + Nice 0 + Sys 14 + Idle 287 + IOW 0 + IRQ 0 + SIRQ 0 = 304

  PID PR CPU% S  #THR     VSS     RSS PCY UID      Name
  226  0   0% S     2  25280K    472K  fg bluetoot /system/bin/mtkbt
  227  0   0% S     2  37984K    576K  fg system   /system/bin/program_binary_service
  228  1   0% S     3  15460K    840K  fg media_rw /system/bin/sdcard
  229  4   0% S     1  43932K    424K  fg system   /system/bin/em_svr
  240  1   0% S     1      0K      0K  fg root     kauditd
  390  3   0% S     1      0K      0K  fg root     kworker/3:1H
    1  4   0% S     1   8800K    520K  fg root     /init
  591  0   0% S    15  27840K    376K  fg radio    /system/bin/gsm0710muxd
  660  2   0% S    27  43148K    356K  fg radio    /system/bin/mtkrild
  737  1   0% S     1      0K      0K  fg root     kworker/1:2
  804  0   0% S    17 980124K  13172K  fg system   com.mediatek.security
 1070  0   0% S     1      0K      0K  fg root     tx_thread
 1116  0   0% S     1  13176K   1248K  fg wifi     /system/bin/wpa_supplicant
 1131  2   0% S     1      0K      0K  fg root     kworker/2:2
 1170  0   0% S    35 1022668K  40444K  fg u0_a41   com.android.inputmethod.latin
 1241  0   0% S    17 981196K  11892K  fg bluetoot com.mediatek.bluetooth
 1262  0   0% S    16 988172K  11392K  fg system   com.mediatek.voiceextension
 1283  0   0% S    18 980340K  11328K  fg u0_a50   com.mediatek.nlpservice
 1304  0   0% S    19 1059828K  11712K  fg u0_a61   com.mediatek.voicecommand
 1326  0   0% S    45 1036584K  23588K  fg radio    com.android.phone
 1349  0   0% S    44 1062284K  34368K  bg u0_a12   com.android.launcher3
 1566  0   0% S     1   9396K    388K  fg dhcp     /system/bin/dhcpcd
 1733  0   0% S    68 1405412K  74536K  bg u0_a8    com.google.android.gms
 3671  1   0% S    26 1144420K  34500K  bg u0_a8    com.google.android.gms.unstable
 5354  0   0% S     1      0K      0K  fg root     fs_suspend_syss
 7301  0   0% S    20 1007736K  12420K  bg u0_a14   com.android.mms
 7666  0   0% S    18 980744K  11516K  bg system   org.simalliance.openmobileapi.service:remote
10186  0   0% S    17 981692K  19008K  bg u0_a31   com.android.deskclock
10237  0   0% S    19 986112K  20632K  bg u0_a8    com.google.process.gapps
10452  0   0% S    18 982020K  20792K  bg u0_a5    android.process.media
10565  0   0% S    78 1167060K  79588K  bg u0_a75   com.facebook.orca
12099  0   0% S    17 1008200K  23716K  bg u0_a67   com.android.chrome
12958  4   0% S     1      0K      0K  fg root     kworker/4:2
13003  0   0% S    31 1033708K  48120K  fg u0_a99   com.termux
13045  0   0% S     1  11392K   1660K  fg u0_a99   /data/data/com.termux/files/usr/bin/bash
13151  0   0% S     1      0K      0K  fg root     kworker/0:0H
13968  1   0% S    65 1125396K  77236K  bg u0_a15   com.android.vending
14055  1   0% S    18 1063900K  39812K  bg u0_a15   com.android.vending:download_service
14142  0   0% S     1      0K      0K  fg root     kworker/u16:3
14150  3   0% S     1      0K      0K  fg root     kworker/3:2
14178  6   0% S     1      0K      0K  fg root     kworker/6:2
